id,section,text
TSA-001,2,Develop a corporate security plan as described in Section 3
TSA-002,2,"Ensure sufficient resources, to include trained staff and equipment"
TSA-003,2,Ensure identified security deficiencies have appropriate financial resources allocated
TSA-004,2,Assign a qualified primary and alternate staff member to manage the corporate security program
TSA-005,2,"Develop and maintain a cyber/SCADA security plan, or incorporate measures in corporate plan"
TSA-006,2,Develop and maintain security elements within corporate incident response and recovery plan
TSA-007,2,Implement appropriate threat level protective measures upon NTAS receipt
TSA-008,2,Notify TSA of security incidents meeting criteria in Appendix B by phone or email
TSA-009,3.1,Identify the primary and alternate security manager responsible for executing plan
TSA-010,3.1,Document company's security-related policies and procedures
TSA-011,3.1,"Reference other company plans, policies and procedures such as insider threat"
TSA-012,3.1,"Be reviewed on an annual basis, and updated as required based on findings"
TSA-013,3.1,Be protected from unauthorized access based on company policy
TSA-014,3.1,Be provided to TSA for review upon request
TSA-015,4.2,"Conduct facility criticality assessments on a periodic basis, not to exceed 18 months"
TSA-016,4.2,"Document the methodology used, and retain criticality assessment until no longer valid"
TSA-017,4.2,Conduct an SVA for facilities determined to be critical
TSA-018,4.2,Maintain and secure the company's list of critical facilities
TSA-019,4.3,"Conduct an SVA on a periodic basis, not to exceed 36 months"
TSA-020,4.3,Conduct SVA within 12 months after completion of significant enhancement
TSA-021,4.3,Conduct SVA for newly identified or constructed critical facilities within 12 months
TSA-022,4.3,Document findings from each assessment and retain until no longer valid
TSA-023,4.3,Implement appropriate SVA findings in timely fashion but no later than 24 months
TSA-024,4.3,Document assessment methodology and make available for TSA review upon request
TSA-025,5.2,Develop a written policy and procedure to identify critical facilities
TSA-026,6.2,Develop and implement baseline security measures at all facilities
TSA-027,6.2,Develop and implement both baseline and enhanced security measures at critical facilities
TSA-028,6.3,"Develop, document, and implement site-specific security measures for critical facilities"
TSA-029,6.3,"Review site-specific security measures periodically, not to exceed 18 months"
TSA-030,T2,Employ measures to impede unauthorized access to facilities
TSA-031,T2,Create a security perimeter impeding unauthorized vehicles using barriers
TSA-032,T2,Maintain fences without gaps around gates or underneath fence line
TSA-033,T2,"Ensure clear zone several feet on either side of fence, free of obstructions"
TSA-034,T2,Employ measures to impede unauthorized persons from gaining facility access
TSA-035,T2,Implement procedures for controlling access to facility and restricted areas
TSA-036,T2,Close and secure perimeter gates or entrances when not in use
TSA-037,T2,Post 'No Trespassing' or 'Authorized Personnel Only' signs at visible intervals
TSA-038,T2,Install and maintain gates of equivalent quality to attached barrier
TSA-039,T2,"Establish and document key control procedures for issuance, tracking, collection"
TSA-040,T2,Use patent keys to prevent unauthorized duplication
TSA-041,T2,Conduct key inventories every 24 months
TSA-042,T2,Provide sufficient illumination for recognition of intrusion into perimeter
TSA-043,T2,"Provide critical facilities with security measures to monitor, detect unauthorized access"
TSA-044,T2,Develop identification and badging policies and procedures for secure area personnel
TSA-045,T2,"Ensure company or vendor identification available for examination, visibly displayed"
TSA-046,T2,"Ensure identification cards are secure from tampering, contain photograph and name"
TSA-047,T2,Establish policies and procedures for applicant pre-employment screening
TSA-048,T2,Conduct pre-employment background investigations for positions with unescorted control access
TSA-049,T2,"At minimum, investigations should verify identity, check criminal history, verify work authorization"
TSA-050,T2,Verify contractors have background investigation policies at least as rigorous
TSA-051,T2,"Conduct recurring background investigations, not to exceed 10 years, for security positions"
TSA-052,T2,Develop and implement maintenance program ensuring security systems in good working order
TSA-053,T2,"Through routine use or quarterly exam, verify proper operation of all security equipment"
TSA-054,T2,Identify and respond to security equipment malfunctions or failures in timely manner
TSA-055,T2,Provide equivalent protective security measures during power outages or equipment failure
TSA-056,T2,"Integrate security risk mitigation measures during design, construction, renovation"
TSA-057,T2,Update facility SVA within 12 months following significant modifications
TSA-058,T2,Develop internal and external notification requirements and procedures
TSA-059,T2,Document and periodically update contact and communication information
TSA-060,T2,Ensure primary and alternate communication capabilities exist for reporting events
TSA-061,T2,"Establish defined process for receiving, handling, disseminating security information"
TSA-062,T2,"Provide security awareness briefings including incident recognition upon hiring, every 3 years"
